"","Latitude","Longitude","Class","B1","B2","B3","B4","B5","B6"
"1607",35.705420323076,-82.5807246515519,"3",528,627,902,919,2606,1934
"1608",35.5854894590893,-82.7935403581568,"3",172,238,577,423,2995,1724
"1609",35.6138426796514,-82.5833318883863,"3",311,418,688,604,2455,1394
"1610",35.566261412961,-82.6318916744263,"3",495,586,882,864,2653,2086
"1611",35.6004808170876,-82.4034325468152,"3",572,699,1116,1186,2438,1787
"1612",35.6109095878691,-82.6361284342821,"3",372,540,934,930,2620,1814
"1613",35.746483608028,-82.545526954288,"3",217,338,735,653,2554,1787
"1614",35.6327448266928,-82.6882731709694,"3",181,236,523,338,3173,1536
"1615",35.578319679177,-82.511306970837,"3",384,507,762,757,1743,1276
"1616",35.7008577358591,-82.559866756877,"3",201,301,585,421,3246,1681
"1617",35.545729770485,-82.5328166747205,"3",576,691,946,942,2329,1728
"1618",35.5913556426539,-82.5429197174537,"3",289,347,613,454,3228,1359
"1619",35.701183634946,-82.5784433193219,"3",465,582,931,1017,2636,2497
"1620",35.611235486956,-82.3209786819285,"3",31,126,604,442,3042,1728
"1621",35.7086793139452,-82.5823541745734,"3",487,586,948,1307,1993,2616
"1622",35.5845117618285,-82.6149446350029,"3",389,468,873,792,2993,1824
"1623",35.619382964129,-82.2867586984775,"3",405,533,1140,1134,2445,2101
"1624",35.5613729266572,-82.697724404494,"3",142,240,651,558,3174,1649
"1625",35.5760383855686,-82.6097301613342,"3",281,359,605,492,2802,1544
"1626",35.5317161097474,-82.8430778580097,"3",3322,3870,4639,5059,5614,4665
"1627",35.4919564211431,-82.5015298327081,"3",94,251,730,573,3591,2014
"1628",35.6102577896952,-82.360087234444,"3",5076,5620,6477,6953,7322,4918
"1629",35.4974967056208,-82.5197804905487,"3",481,612,898,971,1992,1836
"1630",35.5441002750504,-82.6987021183069,"3",689,880,1408,1653,2656,2826
"1631",35.615472175086,-82.3219563957414,"3",647,795,1120,1168,1765,1746
"1632",35.5929851380885,-82.5572595200427,"3",506,683,1018,1090,2042,1775
"1633",35.6190570650421,-82.290669553729,"3",586,689,974,1034,1870,1716
"1634",35.6008067161746,-82.385507793579,"3",334,503,921,1060,2371,2438
"1635",35.5020592928377,-82.5227136319873,"3",723,955,1294,1394,2158,1637
"1636",35.6438253956481,-82.5976716909753,"3",836,951,1415,1471,2760,2205
"1637",35.5910297435669,-82.531187151699,"3",339,539,931,987,1957,1776
"1638",35.5372563942251,-82.7505209503898,"3",819,1005,1280,1389,2007,2197
"1639",35.635677918475,-82.5898499804722,"3",1119,1204,1427,1533,2086,2251
"1640",35.5796232755247,-82.6002789278097,"3",404,503,690,708,1364,1079
"1641",35.6001549180007,-82.3864855073919,"3",120,257,617,437,3146,1472
"1642",35.6184052668683,-82.6250476777361,"3",1106,1364,2197,2107,4255,3446
